ID,oldID,NAME,RESPONSE,PREFEC,DISTRICT,PRBLOCK,INCUMB,TERM,PARTY,SEX,AGE,RESULT,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q9_14,Q9_15,Q9_16,Q9_17,Q9_18,Q9_19,Q9_20,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q12
908,635,橋本岳,1,33,4,59,3,1,1,1,34,4,2,3,8,13,8,13,5,5,3,1,4,3,1,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,3,1,2,2,2,1,2,3,3,3,3,2,2,3,1,5,5,4,3,3,4,2,5,1,3,3,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
909,636,柚木道義,1,33,4,59,3,1,2,1,36,1,4,7,8,9,8,7,9,5,1,3,3,4,NA,3,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,1,1,5,3,3,3,3,3,2,2,5,2,5,2,3,2,4,4,1,2,2,4,4,3,2,1,5,2,3,4,4,3,4,3,0,0,0,0,0,0,100,100,100,100,100,50,50,0,2
910,1021,小岩井実由香,1,33,4,NA,1,0,11,2,46,4,3,1,3,6,NA,NA,NA,1,3,4,2,2,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,4,3,1,1,1,3,1,3,1,1,2,1,3,3,1,3,5,5,1,1,2,5,5,3,2,1,2,5,1,1,1,5,5,40,0,0,40,30,40,0,0,0,0,30,40,50,50,1
911,637,加藤勝信,1,33,5,59,3,2,1,1,53,1,2,8,15,5,3,8,6,1,3,5,4,3,1,3,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,2,2,1,3,1,2,1,2,2,2,5,2,2,1,2,3,5,4,3,2,3,4,2,2,2,2,3,4,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
912,638,花咲宏基,1,33,5,59,1,0,2,1,42,3,3,15,3,7,15,3,4,2,3,1,3,4,3,3,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,5,1,1,5,5,3,3,1,3,1,3,3,3,4,3,3,4,4,3,1,3,2,3,3,5,2,2,4,3,3,3,2,3,3,3,20,50,50,20,0,50,80,100,70,100,80,50,50,0,3
913,1022,佐藤雅章,1,33,5,NA,1,0,11,1,58,4,4,2,1,14,1,14,10,4,1,3,4,4,4,4,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,1,1,1,3,1,1,1,2,2,2,3,2,2,2,5,4,2,1,3,4,5,1,1,2,2,3,2,1,2,2,4,50,25,60,50,50,75,0,0,0,0,25,50,50,25,1
914,639,岸田文雄,1,34,1,59,3,5,1,1,51,1,2,3,8,6,15,6,3,5,1,3,4,3,1,3,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,3,2,1,1,3,1,2,3,2,4,2,2,2,2,2,5,4,2,4,3,4,2,2,2,2,2,3,3,2,2,3,70,70,60,60,60,70,40,40,30,30,50,60,60,50,3
915,640,菅川洋,1,34,1,59,1,0,2,1,40,3,3,15,3,8,15,NA,NA,NA,NA,NA,3,4,3,3,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,5,1,1,3,5,1,2,1,2,1,3,3,1,5,3,5,2,5,5,1,1,1,3,3,1,1,1,1,3,3,5,5,5,2,5,0,30,50,50,50,50,90,90,90,80,75,70,80,20,4
916,641,藤本聡志,1,34,1,59,1,0,4,1,54,4,4,15,9,14,8,5,14,2,1,5,3,3,3,4,3,3,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,5,3,5,5,1,5,2,2,5,5,5,1,2,2,4,5,1,1,2,5,5,1,2,2,5,3,3,5,4,5,2,4,0,0,0,0,0,0,25,25,20,25,20,0,0,0,2
917,642,上村好輝,1,34,1,59,1,0,5,1,48,4,4,9,14,15,14,9,15,5,NA,NA,3,2,3,3,4,2,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,2,1,4,3,5,5,1,5,5,5,5,5,5,1,2,2,5,5,1,3,5,5,5,1,1,2,5,5,3,5,4,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,1023,山本浩徳,1,34,1,NA,1,0,11,1,47,4,4,15,3,14,1,15,14,3,4,5,2,3,3,3,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,5,1,1,1,1,3,1,1,1,1,2,3,3,2,3,3,5,4,4,2,2,3,5,4,2,2,1,3,3,2,1,5,5,25,0,0,25,25,25,0,25,0,0,25,30,50,25,1
919,643,中村文則,1,34,1,NA,1,0,12,1,56,4,4,6,8,9,6,8,11,5,2,1,3,2,3,2,2,2,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,5,1,5,4,1,5,1,2,5,5,4,4,3,2,5,5,2,1,3,5,4,3,1,1,5,2,2,5,4,5,3,4,20,40,60,50,50,60,50,60,50,60,20,70,70,60,2
920,644,平口洋,1,34,2,59,3,1,1,1,60,4,1,3,8,12,3,8,12,1,5,3,4,3,1,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,5,2,2,3,2,4,2,3,3,2,4,2,2,2,3,5,4,3,2,3,3,4,3,2,4,2,2,4,4,4,2,4,50,60,60,60,60,70,40,40,20,10,40,30,60,50,2
921,645,松本大輔,1,34,2,59,3,2,2,1,37,1,4,15,7,8,6,15,12,3,2,1,3,4,3,3,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,1,3,3,2,3,1,4,2,3,3,3,4,3,4,4,5,3,2,1,3,3,3,3,3,3,3,3,3,3,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,1024,宮内香織,1,34,2,NA,1,0,11,2,45,4,3,1,3,6,15,6,1,4,3,1,2,3,3,3,3,3,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,3,4,3,1,1,1,3,1,2,1,1,2,1,3,3,3,3,5,5,4,1,3,3,5,3,2,1,2,5,2,2,1,4,5,30,0,30,50,60,50,0,40,0,0,60,65,70,50,1
923,646,増原義剛,1,34,3,59,3,3,1,1,63,4,2,3,11,15,2,4,11,1,3,5,4,NA,1,NA,NA,NA,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,2,3,2,3,1,4,2,2,3,3,3,2,3,2,3,2,2,3,3,3,3,5,2,3,2,3,3,4,4,2,5,5,60,60,60,50,50,50,40,50,40,30,50,50,40,40,4
924,647,橋本博明,1,34,3,59,1,0,2,1,38,1,3,7,8,3,12,3,7,1,4,5,3,4,3,3,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,5,1,1,3,4,4,4,1,4,1,2,3,4,4,2,4,2,5,4,2,1,3,3,3,3,2,1,5,3,3,4,4,3,3,3,25,25,25,25,25,25,100,100,100,100,100,50,50,25,4
925,1025,日高順子,1,34,3,NA,1,0,11,2,46,4,4,14,1,3,6,1,14,1,3,4,2,3,3,3,3,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,3,1,1,1,1,3,1,1,1,5,3,1,5,3,1,3,5,5,1,1,1,3,3,4,1,1,1,3,2,2,1,5,5,35,0,70,50,50,30,0,0,10,0,50,75,75,10,1
926,648,中川秀直,1,34,4,59,3,9,1,1,64,3,2,3,7,12,3,12,1,5,1,4,4,2,1,3,3,3,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,1,2,4,3,4,2,1,3,5,2,1,2,1,2,4,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
