NAME,NOELEC,DISTRICT,INCUMB,TERM,PARTY,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8
宮野入晶子,0,99,1,0,4,2,0,6,8,1,3,2,1,6,8,7,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,5,5,5,5,5,4,2,2,2,3,4,5,3,5,5,5,5,1,5,5,3,5,5,5,4,1,5,2,3,5,5,5,5,1,1,2,5,2,1,2,5,3,3,,,,,,,,,,,,,,,,,5,3,5,5,5,4,1,3,,,,,,,,
西田静郎,0,99,1,0,4,1,0,7,1,8,3,2,1,2,7,8,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,4,2,2,2,3,5,5,3,5,5,5,5,1,5,5,3,5,5,5,5,1,5,3,3,3,5,5,5,1,1,2,5,,1,2,5,3,3,15,10,10,100,60,30,30,30,10,50,15,0,10,10,10,50,5,3,5,5,5,4,1,3,10,10,10,40,40,20,20,10
大平喜信,0,99,1,0,4,1,0,8,6,7,3,2,1,8,6,7,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,4,2,2,2,4,4,5,3,5,5,5,5,1,5,5,2,5,5,5,4,1,5,3,3,3,5,5,5,1,1,2,5,2,1,2,5,3,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,4,1,3,3,15,5,,98,98,70,85
新渡英夫,0,99,1,0,6,1,0,3,8,12,1,2,3,7,3,8,1,3,3,3,2,4,3,3,3,2,2,3,3,1,2,3,4,3,3,4,2,4,4,3,3,3,2,3,3,3,2,3,3,3,2,2,4,4,3,2,3,3,3,3,3,2,4,3,3,4,2,2,5,4,2,1,3,3,3,3,3,50,25,25,25,50,100,25,25,25,75,25,25,25,50,25,75,3,4,4,4,4,2,2,4,30,30,20,40,30,30,10,20
上里清美,0,99,1,0,4,2,0,1,8,6,3,2,1,6,7,2,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,4,2,2,2,3,4,5,3,5,5,5,5,1,5,5,2,5,5,5,4,1,5,2,3,2,5,5,5,1,1,1,5,2,1,2,5,3,3,30,0,0,100,30,0,0,0,0,0,0,0,0,0,0,,5,3,5,5,5,4,1,3,100,100,100,100,100,100,90,90
岡千陽,0,99,1,0,4,2,0,2,7,8,1,2,3,7,6,14,3,3,3,4,3,3,3,3,3,3,3,3,3,,,,3,4,3,5,5,5,5,2,1,2,3,4,3,4,3,4,5,5,5,1,5,5,5,5,5,5,5,1,5,1,4,3,4,5,5,1,1,3,5,3,1,2,5,2,4,0,0,0,100,25,0,0,0,0,0,0,0,0,0,0,25,5,4,5,5,5,5,1,3,15,20,70,90,70,70,50,40
岡崎裕,0,99,1,0,4,1,0,8,6,1,3,2,1,8,6,1,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,4,2,2,2,3,4,5,3,5,5,5,5,1,5,5,2,5,5,5,4,1,5,2,3,3,5,5,5,1,1,2,5,2,1,2,5,3,3,0,0,0,100,20,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,4,1,3,30,50,10,10,70,60,50,70
片山和子,0,99,1,0,4,2,0,8,9,3,3,1,2,8,6,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,4,2,2,2,3,4,5,3,5,5,5,5,1,5,5,3,5,5,5,4,1,5,2,3,3,5,5,5,1,1,2,5,2,1,2,5,3,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,10,5,3,5,5,5,4,1,3,,,,,,,,
神田美佐子,0,99,1,0,4,2,0,1,8,6,5,2,3,8,12,13,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,2,4,5,5,5,5,2,1,1,2,2,5,2,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,2,3,5,5,5,5,1,1,3,5,3,1,1,5,2,3,25,0,0,100,50,25,0,0,0,0,0,0,0,0,0,25,5,3,5,3,3,3,1,3,30,20,5,80,80,80,80,70
佐藤長右衛門,0,99,1,0,4,1,0,5,7,8,3,2,1,5,7,8,3,3,3,4,3,3,3,3,3,3,3,3,3,1,3,5,3,4,4,5,5,5,5,3,2,2,2,3,4,3,3,5,5,5,5,1,5,5,2,5,5,5,5,1,5,2,3,3,5,5,5,1,1,2,5,2,1,2,5,3,3,5,5,0,100,5,5,0,0,0,5,0,0,5,0,0,5,5,3,5,5,5,4,1,3,20,30,20,100,70,50,30,90
