ID,NAME,RESPONSE,NOELEC,DISTRICT,INCUMB,PARTY,PROP,TERM,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6_1,Q14_6_2,Q14_6_3,Q14_6_4,Q14_6_5,Q14_6_6,Q14_6_7,Q14_6_8,Q14_6_9,Q15_1,Q15_2,Q15_3,Q16
24,佐竹良夫,1,0,5,1,6,0,0,1,0,6,4,5,1,2,5,6,5,12,5,5,2,3,5,5,5,1,3,5,5,4,5,5,1,3,2,5,5,5,5,1,4,5,1,2,5,1,5,5,5,5,5,4,5,5,5,99,99,99,99,99,4,99,99,99,99,99,99,1,1,1,1,3,3,3,3,5,5,1,2,66,0,0,0,1,1,0,0,0,0,1,2,13,自民党政治に見切りをつける
25,中泉松司,1,0,5,1,1,0,0,1,1,7,4,14,3,5,2,5,4,2,2,4,1,3,1,2,4,2,2,3,2,2,3,3,5,4,2,2,3,3,3,2,2,2,2,3,2,4,4,5,2,4,1,2,2,2,1,4,3,3,1,3,3,3,3,3,3,3,7,2,2,4,3,2,2,2,3,5,3,1,4,66,0,0,1,1,1,0,1,1,0,1,2,14,景気回復の流れを止めるのか、止めないのかを問う
26,西野晃,1,0,5,1,12,0,0,1,0,1,7,15,1,3,5,1,3,7,1,1,1,1,1,1,1,2,1,5,5,1,1,3,5,1,1,1,1,5,3,3,1,1,5,3,2,5,1,3,1,5,1,1,1,2,1,2,3,3,3,3,3,3,3,3,3,3,5,2,1,3,3,3,3,4,3,4,2,1,2,66,0,0,1,1,1,0,1,0,0,2,1,13,救国
27,松浦大悟,1,0,5,4,2,0,1,1,0,4,6,5,5,2,1,16,4,5,3,5,2,2,4,5,4,3,3,2,4,4,5,5,3,2,4,4,5,2,2,1,3,4,2,2,5,1,5,5,4,1,2,2,5,5,5,3,4,3,3,2,3,3,2,2,2,3,5,1,1,5,3,2,3,2,2,5,4,2,4,66,0,0,1,1,1,0,1,1,0,2,1,6,
28,太田俊男,1,0,6,1,6,0,0,1,0,7,6,4,3,2,4,7,5,6,5,5,3,5,5,5,5,3,3,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,1,2,4,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,0,1,1,1,1,4,4,4,4,5,5,2,3,66,0,0,0,1,1,0,1,0,0,2,6,13,安倍内閣の暴走ストップ
29,大沼瑞穂,1,0,6,1,1,0,0,2,1,3,2,4,1,3,5,1,2,11,2,3,1,3,2,3,4,2,2,2,2,4,3,2,3,3,3,2,4,4,4,2,2,2,3,2,3,4,3,5,4,4,2,2,3,3,1,4,2,3,1,3,3,3,3,3,2,3,6,2,2,3,3,4,3,2,2,4,4,3,2,66,0,0,0,1,0,0,1,0,1,2,14,1,中間テスト
30,城取良太,1,0,6,1,12,0,0,1,0,1,12,3,1,3,4,1,4,3,1,1,1,2,1,1,2,1,1,5,5,4,1,2,5,1,2,1,2,5,3,1,2,1,4,4,2,5,3,5,1,4,1,1,1,4,3,1,3,2,3,3,3,3,3,3,3,3,8,2,1,5,2,4,2,3,5,4,5,3,2,66,0,0,0,1,1,0,1,0,0,2,1,13,憲法改正
31,舟山康江,1,0,6,4,9,0,1,2,0,4,15,7,1,5,2,4,15,13,4,4,4,4,4,5,4,3,3,5,4,4,5,5,3,4,4,5,4,4,4,3,3,5,2,2,3,1,4,4,4,4,5,3,5,5,5,3,3,3,3,3,3,3,3,4,2,2,5,2,1,3,2,3,2,3,3,4,4,4,2,66,0,0,1,1,1,0,1,1,0,2,6,7,日本らしさを守るための
32,岩渕友,1,0,7,1,6,0,0,2,0,15,13,7,1,2,4,15,13,7,5,5,5,5,5,5,5,3,3,5,5,3,5,5,1,3,3,5,5,5,5,1,5,5,1,1,5,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,0,1,1,3,1,1,3,3,5,4,5,1,4,66,0,0,1,1,1,0,1,1,0,1,2,14,自共対決
33,遠藤陽子,1,0,7,1,8,0,0,2,0,15,12,7,1,2,5,15,5,12,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,3,5,5,1,5,5,1,5,5,1,3,5,1,5,5,5,5,5,4,5,5,5,3,99,99,99,99,99,1,4,2,99,99,3,1,1,3,2,5,2,2,2,0,4,2,0,3,66,66,66,66,66,66,66,66,66,2,5,8,原発ノーくらし・憲法改悪反対
34,金子恵美,1,0,7,4,2,0,1,2,0,13,5,4,1,5,2,13,16,4,3,3,1,1,4,5,4,3,4,3,3,4,4,5,3,3,3,5,5,4,5,1,3,4,2,2,3,1,3,5,4,1,3,3,5,5,4,3,4,3,3,3,3,3,2,3,3,3,5,2,2,4,3,5,2,3,1,5,4,2,3,66,0,0,1,1,1,0,0,1,0,2,7,9,復興・再生
35,酒井秀光,1,0,7,1,12,0,0,1,0,1,12,2,1,5,4,5,15,13,1,1,1,2,1,1,3,3,1,5,5,1,1,3,3,1,1,1,3,5,3,3,1,1,5,3,3,5,1,5,3,5,1,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,7,3,2,3,3,3,3,3,3,4,5,2,2,66,0,0,1,1,1,0,0,0,0,2,1,7,日本を元気にするチャレンジ
36,森雅子,1,0,7,4,1,0,1,2,1,5,13,4,1,5,3,2,13,5,1,5,1,2,3,3,2,2,3,2,2,3,3,3,5,3,1,2,3,3,5,3,2,3,2,3,3,4,2,4,3,2,1,1,1,1,1,4,99,99,1,99,99,99,99,99,99,99,5,2,2,2,3,3,3,2,2,5,4,5,4,66,0,0,0,1,1,0,1,1,0,2,6,14,
37,杉内一成,1,0,7,1,16,0,0,1,0,2,15,4,99,99,99,99,99,99,3,4,3,3,4,5,4,4,5,5,5,2,5,4,1,3,3,5,4,2,5,3,4,4,3,2,4,1,4,4,5,5,5,4,5,5,5,99,99,99,99,99,99,99,1,99,99,99,2,99,1,99,99,99,99,99,99,1,99,0,0,2,66,66,66,66,66,66,66,66,66,5,3,1,消費税率5%アップの法律を失効させる
38,石井章,1,0,8,1,3,0,0,1,0,6,7,11,1,5,2,3,5,15,1,3,1,1,4,3,3,1,2,3,4,2,3,4,5,3,1,5,5,1,3,1,2,4,1,1,2,1,1,1,4,4,2,2,4,4,4,99,99,4,99,99,99,99,99,99,99,99,5,1,1,1,1,5,1,1,2,2,5,1,2,66,0,0,1,1,1,0,0,0,0,2,7,5,
39,上月良祐,1,0,8,1,1,0,0,1,1,16,16,13,5,1,3,16,13,11,2,2,1,2,2,2,3,2,2,3,2,4,3,3,4,2,1,3,3,4,5,3,2,2,2,3,3,4,3,4,4,2,1,2,2,2,1,4,3,3,1,3,3,3,3,3,3,3,7,2,1,3,3,3,4,3,3,4,0,0,4,66,0,0,0,1,1,0,1,0,1,2,6,14,「成長か否か」
40,小林恭子,1,0,8,1,6,0,0,2,0,16,15,12,5,2,1,4,5,7,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,1,2,5,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,0,1,1,3,3,3,5,3,5,5,5,0,3,66,0,0,0,1,0,0,0,0,0,1,2,6,安倍政権の暴走ストップ
41,中村幸樹,1,0,8,1,12,0,0,1,0,1,12,2,1,4,2,1,2,3,1,1,1,3,1,1,1,2,2,5,5,3,1,3,5,1,1,1,3,5,2,3,1,1,5,3,3,5,2,4,2,5,1,1,1,1,2,2,3,2,3,2,3,3,3,3,3,3,8,2,2,2,2,2,4,2,3,3,4,2,2,66,0,0,0,1,0,0,0,0,0,2,1,8,国難
42,藤田幸久,1,0,8,4,2,0,1,1,1,16,6,5,1,5,2,13,2,6,3,5,2,3,5,4,4,2,3,2,4,4,4,5,3,2,2,3,4,3,3,2,3,5,2,3,3,3,4,4,4,2,4,3,5,5,4,3,4,3,99,99,99,99,99,99,99,99,5,2,2,3,3,3,4,4,2,5,4,3,3,66,0,0,1,1,1,0,0,1,0,2,6,13,格差ストップ
43,石原順子,1,0,8,1,5,0,0,2,0,15,4,13,3,4,5,4,15,13,2,4,2,3,2,2,1,5,5,5,5,2,1,2,5,4,2,5,1,2,1,1,1,2,5,3,4,1,1,2,5,5,1,1,2,1,3,2,3,3,3,4,3,3,3,3,3,3,7,1,1,1,1,4,4,4,4,5,0,0,3,66,0,0,0,1,1,0,1,1,0,1,6,13,脱原発
44,小池一徳,1,0,9,1,6,0,0,1,0,12,7,15,1,2,3,7,15,12,5,5,2,4,5,5,5,2,3,5,5,5,5,5,1,3,3,5,5,5,5,1,4,5,1,2,5,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,5,1,1,1,1,3,2,3,2,2,5,1,3,66,0,0,0,1,1,0,1,0,0,1,2,14,自共対決
45,杉浦満春,1,0,9,1,12,0,0,1,0,12,1,16,1,3,4,12,16,1,1,1,1,1,1,1,1,1,1,5,5,2,1,4,5,2,2,1,2,5,2,4,1,1,5,5,2,5,2,3,1,4,1,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,6,3,2,4,4,3,5,2,2,3,5,0,2,66,0,0,0,1,0,0,0,0,0,2,5,13,未来選択
46,高橋克法,1,0,9,1,1,0,0,1,1,3,4,5,1,3,5,9,5,4,1,5,1,2,3,2,3,2,2,3,2,3,4,3,5,3,1,2,4,4,2,3,2,3,2,3,2,3,2,3,3,2,1,1,2,1,1,4,3,2,1,3,3,3,3,3,3,3,7,1,1,3,3,5,5,2,3,2,1,1,2,66,0,0,0,1,0,0,0,0,0,2,1,6,経済再生
47,谷博之,1,0,9,4,2,0,2,1,0,6,7,3,5,1,2,6,9,5,4,5,2,4,5,5,5,4,5,2,2,5,4,5,2,3,4,4,5,3,1,3,4,4,2,2,4,1,5,4,5,1,5,4,5,5,5,3,4,3,2,3,3,2,2,2,3,3,4,2,2,3,3,3,3,3,3,3,4,0,3,66,0,0,0,0,1,0,1,0,0,2,8,1,逆転の夏
48,沖智美,1,0,9,1,5,0,0,2,0,11,15,10,1,99,99,99,99,99,1,2,1,3,2,2,3,4,3,5,3,2,1,3,5,2,3,4,1,1,1,2,2,3,5,3,3,1,2,3,5,3,1,2,3,1,3,2,2,2,2,4,2,2,2,2,2,2,5,2,2,4,2,3,2,2,1,1,4,0,3,66,0,0,0,1,1,0,1,0,0,15,5,1,
49,加賀谷富士子,1,0,10,1,2,0,0,2,0,12,15,5,1,4,5,5,15,12,4,5,3,5,5,5,5,3,3,5,3,3,5,4,3,3,3,5,3,3,4,3,4,5,2,1,5,1,3,5,4,3,5,4,5,5,5,3,4,3,3,2,3,2,1,2,2,3,99,2,1,2,3,3,3,2,3,5,5,0,4,66,0,0,0,1,1,0,1,0,0,2,1,6,
50,店橋世津子,1,0,10,1,6,0,0,2,0,7,12,15,1,2,3,7,5,15,5,5,2,4,5,5,5,2,3,5,5,5,5,5,1,3,3,5,5,5,5,1,5,5,1,2,5,1,5,5,5,5,5,4,5,5,5,99,99,99,99,99,4,99,99,99,99,99,99,1,1,1,1,3,3,3,3,5,5,0,2,66,0,0,0,1,1,0,1,0,0,1,2,6,自共対決
51,安永陽,1,0,10,1,12,0,0,1,0,2,1,12,1,3,4,1,12,2,1,1,1,1,1,1,1,1,1,5,5,5,1,2,5,1,1,1,1,5,1,1,1,1,5,5,5,5,1,5,1,5,1,1,1,1,1,1,3,2,3,2,3,3,3,3,3,2,10,1,1,1,1,1,5,1,2,5,5,0,99,99,0,0,0,1,1,0,1,1,0,2,11,1,憲法改正
52,山本一太,1,0,10,4,1,0,3,1,1,16,3,1,5,3,4,16,1,3,1,5,1,2,3,99,3,2,3,2,2,3,3,3,5,3,1,3,3,1,3,3,2,3,2,3,99,99,99,99,99,99,1,1,1,99,1,4,99,99,1,99,99,99,99,99,99,99,6,1,1,3,1,2,3,3,3,5,4,5,4,66,0,0,1,1,1,0,1,1,0,2,11,14,日本復興最後のチャンス
53,伊藤岳,1,0,11,1,6,0,0,1,0,12,6,5,1,2,3,15,6,5,5,5,2,4,5,5,5,3,3,5,5,5,5,5,1,3,3,5,5,5,5,1,4,5,1,2,5,1,5,5,5,5,5,4,5,5,5,3,3,3,3,3,99,3,3,3,3,3,0,1,1,2,2,2,5,99,99,5,5,1,4,66,0,0,0,1,1,0,1,0,0,1,2,6,自共対決
54,行田邦子,1,0,11,4,5,0,1,2,1,7,10,15,1,5,2,7,10,11,1,3,1,3,2,3,3,4,3,5,3,2,3,3,5,2,3,4,1,3,3,1,3,3,4,3,3,1,3,4,5,2,2,2,3,3,3,2,2,2,2,4,2,2,2,2,2,2,99,2,2,4,3,4,5,3,4,5,5,3,3,66,0,0,1,1,1,0,1,0,0,2,1,6,暴走を食い止める
